module,type,name,res_id,src,value
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_atv_e_ton,E-Ton,E-Ton
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_market_edmonton,Edmonton,Edmonton
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_edmonton,Edmonton (div#11),Edmonton (div#11)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_edson,Edson (div#14),Edson (div#14)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_estrie,Estrie,Estrie
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_eton,Eton,Eton
xpr_dealer,selection,"xpr_dealer.dealer,telephone_choice",0,Evolio Call,Appel EVOLIO
xpr_dealer,field,"xpr_dealer.dealer,callsource_tollfree",0,Evolio Call Tracking,Suivi d'appel EVOLIO
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_ferrari,Ferrari,Ferrari
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_fiat,Fiat,Fiat
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_ford,Ford,Ford
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_fordsvt,FordSVT,FordSVT
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_fort_macleod,Fort Macleod (div#3),Fort Macleod (div#3)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_fort_mcmurray,Fort McMurray (div#16),Fort McMurray (div#16)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_freightliner,Freightliner,Freightliner
xpr_dealer,view,res.partner,xpr_dealer.view_partner_form,Full History,Historique
xpr_dealer,field,"xpr_dealer.dealer,geolat",0,GEO Latitude,GEO Latitude
xpr_dealer,field,"xpr_dealer.dealer,geolon",0,GEO Longitude,GEO Longitude
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_portalmask_gm_optimum,GM Optimum - Enabled Sites,GM Optimum - Sites activés
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_gmc,GMC,GMC
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_atv_gas_gas,Gas Gas,Gas Gas
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_gas_gas,Gas Gas,Gas Gas
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_gaspesie_iles_de_la_madeleine,Gaspésie/Iles de la Madeleine,Gaspésie/Îles-de-la-Madeleine
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_grande_cache,Grande Cache (div#18),Grande Cache (div#18)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_grande_prairie,Grande Prairie (div#19),Grande Prairie (div#19)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_group,Group,Groupe
xpr_dealer,view,xpr_dealer.dealer,xpr_dealer.dealer_search_view,Group By,Grouper par
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_hamilton,Hamilton,Hamilton
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_hanna,Hanna (div#4),Hanna (div#4)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_harley_davidson,Harley-Davidson,Harley-Davidson
xpr_dealer,selection,"xpr_dealer.dealer,site_type",0,Has Website With Us,A un site web avec nous
xpr_dealer,selection,"xpr_dealer.dealer,site_type",0,Has a link or portals to their site,A un lien ou portails à leur site
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_hellbound_steel,Hellbound Steel,Hellbound Steel
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_hino,Hino,Hino
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_holiday,Holiday,Holiday
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_atv_honda,Honda,Honda
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_honda,Honda,Honda
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_honda,Honda,Honda
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_watercraft_honda,Honda,Honda
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_hummer,Hummer,Hummer
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_husaberg,Husaberg,Husaberg
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_husqvarna,Husqvarna,Husqvarna
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_hyosung,Hyosung,Hyosung
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_hyundai,Hyundai,Hyundai
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_portalmask_hyundai_cpo,Hyundai CPO,Hyundai VOC
xpr_dealer,field,"xpr_dealer.dealer,id",0,ID,ID
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_it_support,IT Support,Support informatique
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_indian,Indian,Indian
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_industry,Industry,Industrie
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_infiniti,Infiniti,Infiniti
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_international,International,International
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_isuzu,Isuzu,Isuzu
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_jaguar,Jaguar,Jaguar
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_jeep,Jeep,Jeep
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_junior,Junior,Junior
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_ktm,KTM,KTM
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_kasea,Kasea,Kasea
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_atv_kawasaki,Kawasaki,Kawasaki
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_kawasaki,Kawasaki,Kawasaki
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_watercraft_kawasaki,Kawasaki,Kawasaki
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_keeway,Keeway,Keeway
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_kenora,Kenora,Kenora
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_kenworth,Kenworth,Kenworth
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_kia,Kia,Kia
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_kingston,Kingston,Kingston
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_kitchener_waterloo,Kitchener/Waterloo,Kitchener/Waterloo
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_kymco,Kymco,Kymco
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_lem,LEM,LEM
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_lada,Lada,Lada
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_lamborghini,Lamborghini,Lamborghini
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_lanaudiere,Lanaudière,Lanaudière
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_landrover,Land Rover,Land Rover
xpr_dealer,field,"xpr_dealer.dealer,write_uid",0,Last Updated by,Dernière mise à jour par
xpr_dealer,field,"xpr_dealer.dealer,write_date",0,Last Updated on,Dernière mise à jour
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_laurentides,Laurentides,Laurentides
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_laval,Laval,Laval
xpr_dealer,field,"xpr_dealer.dealer,corpname",0,Legal Name,Nom légal
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_lethbridge,Lethbridge (div#2),Lethbridge (div#2)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_lexus,Lexus,Lexus
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_lincoln,Lincoln,Lincoln
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_london,London,London
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_lotus,Lotus,Lotus
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_mini,MINI,MINI
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_portalmask_mucda_portal,MUCDA Portal,Portail MUCDA
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_mack,Mack,Mack
xpr_dealer,field,"xpr_dealer.dealer,makes",0,Makes,Marques
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_manitoulin_island,Manitoulin Island,Manitoulin Island
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_certification_manual,Manual,Manuel
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_market,Market,Marché
xpr_dealer,field,"xpr_dealer.dealer,market",0,Market,Marché
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_marketing_association,Marketing Association,Association marketing
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_maserati,Maserati,Maserati
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_mauricie,Mauricie,Mauricie
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_maybach,Maybach,Maybach
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_mazda,Mazda,Mazda
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_medicine_hat,Medicine Hat (div#1),Medicine Hat (div#1)
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_mercedes,Mercedes,Mercedes
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_mercedes_amg,Mercedes-AMG,Mercedes-AMG
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_mercedes_maybach,Mercedes-Maybach,Mercedes-Maybach
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_mitsubishi,Mitsubishi,Mitsubishi
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_market_montreal,Montreal,Montréal
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_montreal,Montréal,Montréal
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_monteregie,Montérégie,Montérégie
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_moose_factory,Moose Factory,Moose Factory
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto,Moto,Moto
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_moto_guzzi,Moto Guzzi,Moto Guzzi
xpr_dealer,view,xpr_dealer.dealer,xpr_dealer.dealer_search_view,My Dealers,Mes concessionnaires
xpr_dealer,view,xpr_dealer.dealer,xpr_dealer.dealer_search_view,Unassigned,Non assignés
xpr_dealer,view,xpr_dealer.dealer,xpr_dealer.dealer_search_view,My Team,Mon équipe
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_market_nanaimo,Nanaimo,Nanaimo
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_navistar,Navistar,Navistar
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_new,New,Neuf
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_niagara_falls,Niagara Falls,Niagara Falls
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_car_nissan,Nissan,Nissan
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_nord_du_quebec,Nord-du-Québec,Nord-du-Québec
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_atv_nordic_motor,Nordic Motor,Nordic Motor
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_nordik_motor,Nordik Motor,Nordik Motor
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_north_bay,North Bay,North Bay
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_occ,OCC,OCC
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_market_osprey,Osprey,Osprey
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_market_ottawa,Ottawa,Ottawa
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_ottawa,Ottawa,Ottawa
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_outaouais,Outaouais,Outaouais
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_region_owen_sound,Owen Sound,Owen Sound
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_atv_pgo,PGO,PGO
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_pgo,PGO,PGO
xpr_dealer,model,"res.partner.category,name",xpr_dealer.category_dealer_moto_pagsta,Pagsta,Pagsta
xpr_dealer,model,"ir.model,name",xpr_dealer.model_res_partner,Partner,Partenaire
